2026-04-29 10:58:25,Soft launch of open-source code platform for government (nldigitalgovernment.nl)
2026-04-30 10:57:24,Granite 4.1: IBM's 8B Model Matching 32B MoE (firethering.com)
2026-05-01 10:24:19,"Show HN: WhatCable, a tiny menu bar app for inspecting USB-C cables (github.com/darrylmorley)"
2026-05-02 09:59:35,Why does it take so long to release black fan versions? (noctua.at)
2026-05-03 10:07:19,A couple million lines of Haskell: Production engineering at Mercury (haskell.org)
2026-05-04 11:06:21,GameStop makes $55.5B takeover offer for eBay (bbc.co.uk)
2026-05-05 10:48:39,Async Rust never left the MVP state (tweedegolf.nl)
2026-05-06 11:08:43,Show HN: Red Squares – GitHub outages as contributions (cian.lol)
2026-05-07 11:10:51,Valve releases Steam Controller CAD files under Creative Commons license (digitalfoundry.net)
2026-05-08 10:25:30,Canvas is down as ShinyHunters threatens to leak schools’ data (theverge.com)
2026-05-09 10:07:33,A recent experience with ChatGPT 5.5 Pro (gowers.wordpress.com)
2026-05-10 10:17:23,Bun's experimental Rust rewrite hits 99.8% test compatibility on Linux x64 glibc (twitter.com/jarredsumner)
2026-05-11 12:12:14,Ratty – A terminal emulator with inline 3D graphics (ratty-term.org)
2026-05-12 11:22:29,Learning Software Architecture (matklad.github.io)
